hour,day_of_week,day_of_year,temperature_c,demand
5,3,25,12.6,26451.0
6,3,25,12.4,25869.0
7,3,25,12.2,25118.0
8,3,25,12.8,23838.0
9,3,25,12.4,22845.0
10,3,25,12.4,21769.0
11,3,25,12.5,21438.0
12,3,25,12.5,20950.0
13,3,25,13.3,21161.0
14,3,25,13.3,21138.0
15,3,25,13.3,22041.0
16,3,25,13.5,23899.0
17,3,25,13.9,25082.0
18,3,25,14.8,25158.0
19,3,25,16.0,24679.0
20,3,25,17.2,24325.0
21,3,25,17.9,23316.0
22,3,25,17.9,22133.0
23,3,25,16.7,22388.0
0,4,26,16.0,22263.0
1,4,26,14.1,21919.0
2,4,26,12.1,23612.0
3,4,26,11.3,25764.0
4,4,26,11.1,26189.0
5,4,26,10.6,25826.0
6,4,26,10.8,25585.0
7,4,26,9.8,24818.0
8,4,26,9.1,23579.0
9,4,26,8.7,22294.0
10,4,26,8.8,21789.0
11,4,26,8.0,21157.0
12,4,26,8.5,20514.0
13,4,26,8.2,20337.0
14,4,26,8.3,20617.0
15,4,26,8.4,21661.0
16,4,26,11.3,23854.0
17,4,26,13.0,25095.0
18,4,26,14.7,25039.0
19,4,26,16.9,24652.0
20,4,26,18.6,24434.0
21,4,26,20.1,23426.0
22,4,26,21.2,22860.0
23,4,26,21.3,23221.0
0,5,27,19.4,23206.0
1,5,27,16.2,22903.0
2,5,27,16.4,23864.0
3,5,27,13.7,25638.0
4,5,27,11.8,25861.0
5,5,27,10.9,25138.0
6,5,27,10.6,24404.0
7,5,27,10.3,23723.0
8,5,27,10.0,22797.0
9,5,27,9.6,22086.0
10,5,27,9.6,21227.0
11,5,27,9.8,20461.0
12,5,27,9.8,19970.0
13,5,27,9.1,19446.0
14,5,27,8.8,19378.0
15,5,27,8.8,19831.0
16,5,27,11.1,20701.0
17,5,27,14.4,21208.0
18,5,27,16.7,21929.0
19,5,27,18.4,21211.0
20,5,27,20.0,20507.0
21,5,27,21.8,19987.0
22,5,27,22.5,19596.0
23,5,27,21.8,18871.0
0,6,28,20.3,19307.0
1,6,28,18.2,20460.0
2,6,28,17.0,22244.0
3,6,28,18.3,24047.0
4,6,28,15.9,24360.0
5,6,28,13.8,23819.0
6,6,28,13.2,23286.0
7,6,28,13.0,22668.0
8,6,28,12.6,22066.0
9,6,28,12.4,20683.0
10,6,28,11.9,20224.0
11,6,28,11.2,19620.0
12,6,28,10.9,19065.0
13,6,28,13.5,18729.0
14,6,28,12.9,18623.0
15,6,28,12.2,18972.0
16,6,28,14.5,19729.0
17,6,28,17.2,20194.0
18,6,28,19.2,20716.0
19,6,28,21.0,21183.0
20,6,28,22.2,20807.0
21,6,28,23.2,19492.0
22,6,28,23.8,18930.0
23,6,28,23.7,18884.0
0,0,29,22.9,18506.0
1,0,29,21.2,19483.0
2,0,29,20.1,21416.0
3,0,29,16.7,23637.0
4,0,29,15.9,23999.0
5,0,29,15.0,23781.0
6,0,29,14.3,23246.0
7,0,29,14.5,22619.0
8,0,29,14.4,21566.0
9,0,29,15.4,20460.0
10,0,29,18.5,20103.0
11,0,29,18.1,19677.0
12,0,29,18.0,19132.0
13,0,29,11.1,19169.0
14,0,29,11.1,19532.0
15,0,29,12.0,20892.0
16,0,29,15.5,22884.0
17,0,29,17.0,24184.0
18,0,29,19.1,23571.0
19,0,29,21.3,22847.0
20,0,29,23.1,22679.0
21,0,29,24.0,21568.0
22,0,29,24.3,21675.0
23,0,29,24.2,22183.0
0,1,30,22.6,22291.0
1,1,30,19.6,22056.0
2,1,30,16.7,23632.0
3,1,30,17.2,25684.0
4,1,30,14.3,26001.0
5,1,30,13.3,25273.0
6,1,30,12.2,24459.0
7,1,30,11.9,23589.0
8,1,30,16.4,22228.0
9,1,30,16.6,21195.0
10,1,30,12.6,20995.0
11,1,30,14.9,20348.0
12,1,30,14.9,20093.0
13,1,30,17.1,20136.0
14,1,30,16.1,19962.0
15,1,30,15.0,21098.0
16,1,30,13.1,23165.0
17,1,30,15.7,24284.0
18,1,30,18.1,23814.0
19,1,30,20.2,22808.0
20,1,30,21.6,21533.0
21,1,30,22.6,21363.0
22,1,30,23.0,21266.0
23,1,30,22.5,21496.0
0,2,31,20.8,22143.0
1,2,31,17.8,22727.0
2,2,31,15.5,23771.0
3,2,31,15.8,25613.0
4,2,31,15.1,26043.0
5,2,31,13.4,25492.0
6,2,31,11.4,24769.0
7,2,31,12.8,23953.0
8,2,31,13.2,22702.0
9,2,31,13.8,21680.0
10,2,31,13.2,21083.0
11,2,31,11.3,20613.0
12,2,31,10.5,20122.0
13,2,31,12.6,20005.0
14,2,31,11.2,20376.0
15,2,31,11.9,21276.0
16,2,31,12.3,23045.0
17,2,31,14.0,24322.0
18,2,31,15.6,24863.0
19,2,31,17.4,24796.0
20,2,31,18.9,24144.0
21,2,31,19.1,24047.0
22,2,31,18.4,23405.0
23,2,31,17.5,23489.0
0,3,32,16.8,23353.0
1,3,32,15.7,23818.0
2,3,32,14.0,24982.0
3,3,32,12.7,26332.0
4,3,32,11.6,26671.0
5,3,32,11.9,26224.0
6,3,32,12.0,25364.0
7,3,32,11.7,24789.0
8,3,32,12.1,23936.0
9,3,32,12.2,22751.0
10,3,32,12.4,22173.0
11,3,32,12.3,21603.0
12,3,32,12.1,21279.0
13,3,32,10.7,20974.0
14,3,32,10.9,21033.0
15,3,32,10.8,21672.0
16,3,32,10.9,23694.0
17,3,32,11.2,25159.0
18,3,32,12.0,25785.0
19,3,32,12.3,25911.0
20,3,32,13.8,25815.0
21,3,32,15.5,25303.0
22,3,32,15.8,25395.0
23,3,32,15.3,24617.0
0,4,33,14.6,24109.0
1,4,33,12.2,23933.0
2,4,33,11.3,24841.0
3,4,33,10.8,26593.0
4,4,33,9.8,27307.0
5,4,33,9.3,26757.0
6,4,33,9.4,25747.0
7,4,33,8.7,24994.0
8,4,33,8.0,23875.0
9,4,33,7.8,22595.0
10,4,33,8.6,22042.0
11,4,33,9.3,21476.0
12,4,33,8.6,20927.0
13,4,33,7.2,20642.0
14,4,33,8.1,21164.0
15,4,33,9.4,22091.0
16,4,33,9.9,23852.0
17,4,33,11.8,25187.0
18,4,33,13.2,25477.0
19,4,33,14.3,24604.0
20,4,33,15.4,24364.0
21,4,33,16.2,23628.0
22,4,33,16.5,23215.0
23,4,33,16.0,22546.0
0,5,34,15.5,22410.0
1,5,34,13.9,22108.0
2,5,34,12.6,23833.0
3,5,34,11.8,26106.0
4,5,34,10.7,26895.0
5,5,34,11.4,26526.0
6,5,34,11.5,25862.0
7,5,34,8.6,25066.0
8,5,34,7.8,23993.0
9,5,34,7.7,22749.0
10,5,34,7.4,22024.0
11,5,34,7.1,21133.0
12,5,34,7.0,20779.0
13,5,34,8.0,20246.0
14,5,34,8.2,20194.0
15,5,34,8.2,20726.0
16,5,34,9.9,21387.0
17,5,34,11.8,21982.0
18,5,34,13.7,22858.0
19,5,34,14.5,22554.0
20,5,34,15.1,22605.0
21,5,34,15.4,22136.0
22,5,34,15.0,21369.0
23,5,34,14.4,20966.0
0,6,35,13.8,20879.0
1,6,35,12.8,21642.0
2,6,35,11.7,22859.0
3,6,35,11.2,24802.0
4,6,35,12.2,25207.0
5,6,35,12.6,24914.0
6,6,35,11.7,24422.0
7,6,35,11.5,24008.0
8,6,35,11.1,23186.0
9,6,35,10.5,22036.0
10,6,35,10.2,21703.0
11,6,35,10.2,20948.0
12,6,35,10.6,20502.0
13,6,35,10.3,20170.0
14,6,35,10.2,20302.0
15,6,35,10.6,20536.0
16,6,35,11.6,20628.0
17,6,35,12.9,21066.0
18,6,35,14.3,21846.0
19,6,35,13.9,22242.0
20,6,35,14.0,22689.0
21,6,35,13.3,22704.0
22,6,35,12.4,22964.0
23,6,35,12.7,22236.0
0,0,36,12.5,22536.0
1,0,36,12.9,22963.0
2,0,36,12.5,23577.0
3,0,36,12.0,24926.0
4,0,36,11.9,25237.0
5,0,36,12.0,24821.0
6,0,36,12.1,24238.0
7,0,36,12.2,23679.0
8,0,36,12.3,22352.0
9,0,36,12.5,21370.0
10,0,36,12.4,21191.0
11,0,36,12.4,20674.0
12,0,36,12.3,20764.0
13,0,36,12.4,20565.0
14,0,36,12.3,20552.0
15,0,36,12.2,21061.0
16,0,36,12.4,22820.0
17,0,36,12.3,24401.0
18,0,36,12.6,24654.0
19,0,36,12.7,24700.0
20,0,36,13.3,24904.0
21,0,36,14.4,25403.0
22,0,36,14.1,25690.0
23,0,36,13.7,25491.0
0,1,37,13.4,25180.0
1,1,37,12.7,25133.0
2,1,37,12.3,25891.0
3,1,37,12.1,27099.0
4,1,37,11.8,27575.0
5,1,37,11.4,27029.0
6,1,37,11.2,26331.0
7,1,37,10.7,25415.0
8,1,37,10.8,23831.0
9,1,37,10.8,23099.0
10,1,37,10.8,21927.0
11,1,37,10.8,21561.0
12,1,37,10.9,21596.0
13,1,37,11.5,21240.0
14,1,37,11.3,21055.0
15,1,37,10.9,21943.0
16,1,37,11.1,24238.0
